id,title,category,capabilities,organization,format,local_path,source_url,direct_download_url,sha256,truth_class,use_for,notes
MANIFEST-REQ-JSON,Requirements sources manifest,catalog_metadata,"1.1;1.2",Supplied AI4MBSE public real test bundle,JSON,00_catalog/requirements_sources_manifest.json,,,3033b9c29af3e85c98a98d7d1dae65c63dda4361d288fd91a745c0088805cc34,official_original,source index and document classification,Supplied provenance metadata; not itself a domain evidence document.
MANIFEST-ALL-JSON,All public sources manifest,catalog_metadata,"1.1;1.2;2.1;2.2",Supplied AI4MBSE public real test bundle,JSON,00_catalog/all_sources_manifest.json,,,442a845c61571beaa96ade3a02d5d86fabb5b77451c9bf17f03dde65927033eb,official_original,cross-domain source index,Supplied provenance metadata; row-level source URLs are authoritative pointers.
MANIFEST-REQ-CSV,Requirements sources manifest (CSV),catalog_metadata,"1.1;1.2",Supplied AI4MBSE public real test bundle,CSV,00_catalog/requirements_sources_manifest.csv,,,24dc847a4f155146ffa6b2f485a7b9c78470e977bd8266242a841e57aece8eec,official_original,source index and document classification,CSV counterpart of MANIFEST-REQ-JSON.
REQDOC-01,Design Requirements for Unmanned Rotorcraft Used in Low-Risk Concepts of Operation,requirements_document,1.1,NASA,PDF,05_original_sources/REQDOC-01_NASA_Design_Requirements_UAS.pdf,https://ntrs.nasa.gov/citations/20160014852,https://ntrs.nasa.gov/api/citations/20160014852/downloads/20160014852.pdf,e36ace6544f1a09f22fe833bae486dcc0a535862b0fc73e1e038fc28db57769f,official_original,"formal design/performance requirements, entities, attributes, constraints, provenance",Canonical original; do not OCR-overwrite.
REQDOC-02,UTM Concept of Operations Version 2.0,requirements_document,1.2,FAA,PDF,05_original_sources/REQDOC-02_FAA_UTM_ConOps_v2.pdf,https://www.faa.gov/researchdevelopment/trafficmanagement/utm-concept-operations-version-20-utm-conops-v20,https://www.faa.gov/sites/faa.gov/files/2022-08/UTM_ConOps_v2.pdf,6d29c1dbf7caccd7156126aef90ab65712bd067cb9c86fd3892347ada4cea45e,official_original,"actors, scenarios, use cases, activities, sequences, contingency and lost-link flows",Canonical original; parser smoke test succeeded with hybrid OCR diagnostics on sparse pages.
REQDOC-03,HALE UAS Concept of Operations Version 3.0,requirements_document,"1.1;1.2",NASA,PDF,05_original_sources/REQDOC-03_NASA_HALE_UAS_ConOps_v3.pdf,https://ntrs.nasa.gov/citations/20080017112,https://ntrs.nasa.gov/api/citations/20080017112/downloads/20080017112.pdf,6150656f8978f7889542fb5ce361d0a1160234743c07a97375fb26ad2955f6d3,official_original,"shared system-level ConOps, sample missions, operational requirements and scenarios",One canonical copy is shared by 1.1 and 1.2.
REQDOC-04,Functional Requirements Document for HALE UAS Operations in the NAS: Step 1 Version 3,requirements_document,1.1,NASA,PDF,05_original_sources/REQDOC-04_NASA_HALE_UAS_Functional_Requirements.pdf,https://ntrs.nasa.gov/citations/20080017417,https://ntrs.nasa.gov/api/citations/20080017417/downloads/20080017417.pdf,ddf4d9dbadfb0e3499b138a6b09fd696cd29346c9952a95c01353163b587970c,official_original,operational-to-functional decomposition and long-document stress test,Canonical original; do not OCR-overwrite.
REQDOC-05,Collision Avoidance Functional Requirements for Step 1 Revision 6,requirements_document,1.1,NASA,PDF,05_original_sources/REQDOC-05_NASA_Collision_Avoidance_Functional_Requirements.pdf,https://ntrs.nasa.gov/citations/20080017111,https://ntrs.nasa.gov/api/citations/20080017111/downloads/20080017111.pdf,e665ea735a8ceec9fd5e5d8cb5ed80c57e704f94945e7a3ac66f6adf27fbd73c,official_original,requirement hierarchy performance requirements and safety guidelines,Canonical original; do not OCR-overwrite.
REQDOC-06,AC 107-2A Small Unmanned Aircraft System,requirements_document,1.1,FAA,PDF,05_original_sources/REQDOC-06_FAA_AC_107-2A.pdf,https://www.faa.gov/documentLibrary/media/Advisory_Circular/AC_107-2A.pdf,https://www.faa.gov/documentLibrary/media/Advisory_Circular/AC_107-2A.pdf,9787897fb128e26a737b2d429cca57b83a81cfe2f0019a852f72111ee0b559d5,official_original,"regulatory language, must/limitation wording and long PDF ingestion",Canonical original; do not OCR-overwrite.
REQDOC-07,Unmanned Aircraft Systems Traffic Management TechPort Closeout Infosheet,requirements_document,1.1,NASA,DOCX,05_original_sources/REQDOC-07_NASA_UTM_TechPort.docx,https://ntrs.nasa.gov/citations/20210018117,https://ntrs.nasa.gov/api/citations/20210018117/downloads/Techport_UTM%20Infosheet%202021%20June%20update%20v2.docx,aec4b32b53bca77d545098e2284a2b8e0a54ceb36032ef694b3a60ca8a56f7aa,official_original,real DOCX ingestion and Word document regions,Canonical original; parsed successfully.
REQDOC-08,Work Package 5 Contingency Management - Mission Planning Requirements Document,requirements_document,"1.1;1.2",NASA,PDF,05_original_sources/REQDOC-08_NASA_Contingency_Mission_Planning.pdf,https://ntrs.nasa.gov/citations/20080017283,https://ntrs.nasa.gov/api/citations/20080017283/downloads/20080017283.pdf,62e1a0a7464b4a9c2a3eef8c00b2fea3fa6ac70b6d7c61b5d78efe94503f1c6a,official_original,"mission planning, abnormal scenarios, contingency and actor interaction",Canonical original; do not OCR-overwrite.
UAV-FACTS-JSON,Historical UAV public facts,historical_aircraft_facts,2.1,Multiple official authorities,JSON,02_concept_design/2_1_public_facts/historical_uav_public_facts.json,,,9934ddd64450ed8114849d8fcd4d5fa28460ee9b3d56f537fc85082267d1d33d,published,public-facts reference and source-aware retrieval,"Nine rows; each row carries its own official source_url and authority."
UAV-FACTS-CSV,Historical UAV public facts,historical_aircraft_facts,2.1,Multiple official authorities,CSV,02_concept_design/2_1_public_facts/historical_uav_public_facts.csv,,,404ba1f1d0d79521826e596e6023cf6b048372f0c6602bb6584fb3992fe5aac4,published,tabular public-facts reference,CSV counterpart of UAV-FACTS-JSON.
SCHEMES-JSON,Fixed-wing public runnable schemes,historical_scheme_runnable,"2.1;2.2",Multiple official authorities plus explicit demo assumptions,JSON,02_concept_design/2_1_runnable_schemes/fixed-wing-schemes-public-demo.json,,,43e46f698c650062c0c23d6061c0bfc15d350988f7deca03d706dbb745258d59,demo_assumption,"fixed-wing-v1 import, similarity retrieval, candidate generation and multidisciplinary evaluation",Composite file: published and derived public values plus explicit demo_assumption fields.
SCHEMES-CSV,Fixed-wing public runnable schemes,historical_scheme_runnable,"2.1;2.2",Multiple official authorities plus explicit demo assumptions,CSV,02_concept_design/2_1_runnable_schemes/fixed-wing-schemes-public-demo.csv,,,b22d2d3ac8d06a29ab6754cde079d75932dde21aa546d95ca94f3e01be782089,demo_assumption,CSV compatibility check for the fixed-wing-v1 importer,CSV counterpart; JSON and CSV both import 9/9 with 0 rejection.
MATERIALS-REFERENCE,Public material reference data,reference_data,2.2,NASA / Hexcel,JSON,02_concept_design/2_2_reference_data/materials_public_reference.json,,,7f0cd999ef8f8f1b00be5c22fba423ec1fb322c3a9999b73b3221c1b28036de1,published,2.2 structural development-only reference,Contains Aluminum 7075-T6 and HexPly 8552.
